Date,Open,High,Low,Close*,Adj Close**,Volume
"‎Nov‎ ‎29‎, ‎2018",110.33,111.12,109.03,110.19,110.19,"28,123,200"
"‎Nov‎ ‎28‎, ‎2018",107.89,111.33,107.86,111.12,111.12,"46,788,500"
"‎Nov‎ ‎27‎, ‎2018",106.27,107.33,105.36,107.14,107.14,"29,124,500"
"‎Nov‎ ‎26‎, ‎2018",104.79,106.63,104.58,106.47,106.47,"32,336,200"
"‎Nov‎ ‎23‎, ‎2018",102.17,103.81,102.00,103.07,103.07,"13,823,100"
"‎Nov‎ ‎21‎, ‎2018",103.60,104.43,102.24,103.11,103.11,"28,130,600"
"‎Nov‎ ‎20‎, ‎2018",101.80,102.97,99.35,101.71,101.71,"64,052,500"
"‎Nov‎ ‎19‎, ‎2018",108.27,108.56,103.55,104.62,104.62,"44,773,900"
"‎Nov‎ ‎16‎, ‎2018",107.08,108.88,106.80,108.29,108.29,"33,502,100"
"‎Nov‎ ‎15‎, ‎2018",104.99,107.80,103.91,107.28,107.28,"38,505,200"
"‎Nov‎ ‎14‎, ‎2018",108.10,108.26,104.47,104.97,104.97,"39,495,100"
"‎Nov‎ ‎13‎, ‎2018",0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend
"‎Nov‎ ‎13‎, ‎2018",107.55,108.74,106.64,106.94,106.48,"35,374,600"
"‎Nov‎ ‎12‎, ‎2018",109.42,109.96,106.10,106.87,106.41,"33,621,800"
"‎Nov‎ ‎09‎, ‎2018",110.85,111.45,108.76,109.57,109.10,"32,039,200"
"‎Nov‎ ‎08‎, ‎2018",111.80,112.21,110.91,111.75,111.27,"25,644,100"
"‎Nov‎ ‎07‎, ‎2018",109.44,112.24,109.40,111.96,111.48,"37,901,700"
"‎Nov‎ ‎06‎, ‎2018",107.38,108.84,106.28,107.72,107.26,"24,340,200"
"‎Nov‎ ‎05‎, ‎2018",106.37,107.74,105.90,107.51,107.05,"27,922,100"
"‎Nov‎ ‎02‎, ‎2018",106.48,107.32,104.98,106.16,105.70,"37,680,200"
"‎Nov‎ ‎01‎, ‎2018",107.05,107.32,105.53,105.92,105.46,"33,384,200"
"‎Oct‎ ‎31‎, ‎2018",105.44,108.14,105.39,106.81,106.35,"51,062,400"
"‎Oct‎ ‎30‎, ‎2018",103.66,104.38,100.11,103.73,103.28,"65,350,900"
"‎Oct‎ ‎29‎, ‎2018",108.11,108.70,101.63,103.85,103.40,"55,162,000"
"‎Oct‎ ‎26‎, ‎2018",105.69,108.75,104.76,106.96,106.50,"55,523,100"
"‎Oct‎ ‎25‎, ‎2018",106.55,109.27,106.15,108.30,107.83,"61,646,800"
"‎Oct‎ ‎24‎, ‎2018",108.41,108.49,101.59,102.32,101.88,"63,897,800"
"‎Oct‎ ‎23‎, ‎2018",107.77,108.97,105.11,108.10,107.64,"43,770,400"
"‎Oct‎ ‎22‎, ‎2018",109.32,110.54,108.24,109.63,109.16,"26,545,600"
"‎Oct‎ ‎19‎, ‎2018",108.93,110.86,108.21,108.66,108.19,"32,785,500"
"‎Oct‎ ‎18‎, ‎2018",110.10,110.53,107.83,108.50,108.03,"32,506,200"
"‎Oct‎ ‎17‎, ‎2018",111.68,111.81,109.55,110.71,110.23,"26,548,200"
"‎Oct‎ ‎16‎, ‎2018",109.54,111.41,108.95,111.00,110.52,"31,610,200"
"‎Oct‎ ‎15‎, ‎2018",108.91,109.48,106.95,107.60,107.14,"32,068,100"
"‎Oct‎ ‎12‎, ‎2018",109.01,111.24,107.12,109.57,109.10,"47,742,100"
"‎Oct‎ ‎11‎, ‎2018",105.35,108.93,104.20,105.91,105.45,"63,904,300"
"‎Oct‎ ‎10‎, ‎2018",111.24,111.50,105.79,106.16,105.70,"61,376,300"
"‎Oct‎ ‎09‎, ‎2018",111.14,113.08,110.80,112.26,111.78,"26,198,600"
"‎Oct‎ ‎08‎, ‎2018",111.66,112.03,109.34,110.85,110.37,"29,640,600"
"‎Oct‎ ‎05‎, ‎2018",112.63,113.17,110.64,112.13,111.65,"29,068,900"
"‎Oct‎ ‎04‎, ‎2018",114.61,114.76,111.63,112.79,112.30,"34,821,700"
"‎Oct‎ ‎03‎, ‎2018",115.42,116.18,114.93,115.17,114.67,"16,648,000"
"‎Oct‎ ‎02‎, ‎2018",115.30,115.84,114.44,115.15,114.65,"20,787,200"
"‎Oct‎ ‎01‎, ‎2018",114.75,115.68,114.73,115.61,115.11,"18,883,100"
"‎Sep‎ ‎28‎, ‎2018",114.19,114.57,113.68,114.37,113.88,"21,647,800"
"‎Sep‎ ‎27‎, ‎2018",114.78,114.91,114.20,114.41,113.92,"19,091,300"
"‎Sep‎ ‎26‎, ‎2018",114.47,115.06,113.74,113.98,113.49,"19,352,000"
"‎Sep‎ ‎25‎, ‎2018",114.80,115.10,113.75,114.45,113.96,"22,668,000"
"‎Sep‎ ‎24‎, ‎2018",113.03,114.90,112.22,114.67,114.18,"27,334,500"
"‎Sep‎ ‎21‎, ‎2018",114.00,115.29,113.51,114.26,113.77,"71,229,700"
"‎Sep‎ ‎20‎, ‎2018",112.28,113.80,111.93,113.57,113.08,"23,714,500"
"‎Sep‎ ‎19‎, ‎2018",113.05,113.32,111.04,111.70,111.22,"21,728,400"
"‎Sep‎ ‎18‎, ‎2018",112.19,113.70,111.72,113.21,112.72,"22,170,900"
"‎Sep‎ ‎17‎, ‎2018",113.69,113.70,111.86,112.14,111.66,"20,736,500"
"‎Sep‎ ‎14‎, ‎2018",113.36,113.73,112.44,113.37,112.88,"19,122,300"
"‎Sep‎ ‎13‎, ‎2018",112.12,113.73,112.12,112.91,112.42,"26,055,600"
"‎Sep‎ ‎12‎, ‎2018",111.43,111.85,110.51,111.71,111.23,"18,891,100"
"‎Sep‎ ‎11‎, ‎2018",108.90,111.59,108.89,111.24,110.76,"24,301,800"
"‎Sep‎ ‎10‎, ‎2018",108.84,109.64,108.36,109.38,108.91,"20,727,900"
"‎Sep‎ ‎07‎, ‎2018",108.23,108.72,107.23,108.21,107.74,"22,498,600"
"‎Sep‎ ‎06‎, ‎2018",108.25,108.99,107.51,108.74,108.27,"23,477,600"
"‎Sep‎ ‎05‎, ‎2018",111.01,111.42,108.10,108.49,108.02,"32,872,400"
"‎Sep‎ ‎04‎, ‎2018",110.85,111.96,110.22,111.71,111.23,"22,634,600"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
