Date,Open,High,Low,Close*,Adj Close**,Volume
"‎Jan‎ ‎25‎, ‎2019",107.24,107.88,106.20,107.17,107.17,"31,225,600"
"‎Jan‎ ‎24‎, ‎2019",106.86,107.00,105.34,106.20,106.20,"23,164,800"
"‎Jan‎ ‎23‎, ‎2019",106.12,107.04,105.34,106.71,106.71,"25,874,300"
"‎Jan‎ ‎22‎, ‎2019",106.75,107.10,104.86,105.68,105.68,"32,371,300"
"‎Jan‎ ‎18‎, ‎2019",107.46,107.90,105.91,107.71,107.71,"37,427,600"
"‎Jan‎ ‎17‎, ‎2019",105.00,106.63,104.76,106.12,106.12,"28,393,000"
"‎Jan‎ ‎16‎, ‎2019",105.26,106.26,104.96,105.38,105.38,"29,853,900"
"‎Jan‎ ‎15‎, ‎2019",102.51,105.05,101.88,105.01,105.01,"31,587,600"
"‎Jan‎ ‎14‎, ‎2019",101.90,102.87,101.26,102.05,102.05,"28,437,100"
"‎Jan‎ ‎11‎, ‎2019",103.19,103.44,101.64,102.80,102.80,"28,314,200"
"‎Jan‎ ‎10‎, ‎2019",103.22,103.75,102.38,103.60,103.60,"30,067,600"
"‎Jan‎ ‎09‎, ‎2019",103.86,104.88,103.24,104.27,104.27,"32,280,800"
"‎Jan‎ ‎08‎, ‎2019",103.04,103.97,101.71,102.80,102.80,"31,514,400"
"‎Jan‎ ‎07‎, ‎2019",101.64,103.27,100.98,102.06,102.06,"35,656,100"
"‎Jan‎ ‎04‎, ‎2019",99.72,102.51,98.93,101.93,101.93,"44,060,600"
"‎Jan‎ ‎03‎, ‎2019",100.10,100.19,97.20,97.40,97.40,"42,579,100"
"‎Jan‎ ‎02‎, ‎2019",99.55,101.75,98.94,101.12,101.12,"35,329,300"
"‎Dec‎ ‎31‎, ‎2018",101.29,102.40,100.44,101.57,101.57,"33,173,800"
"‎Dec‎ ‎28‎, ‎2018",102.09,102.41,99.52,100.39,100.39,"38,196,300"
"‎Dec‎ ‎27‎, ‎2018",99.30,101.19,96.40,101.18,101.18,"49,498,500"
"‎Dec‎ ‎26‎, ‎2018",95.14,100.69,93.96,100.56,100.56,"51,634,800"
"‎Dec‎ ‎24‎, ‎2018",97.68,97.97,93.98,94.13,94.13,"43,935,200"
"‎Dec‎ ‎21‎, ‎2018",101.63,103.00,97.46,98.23,98.23,"111,242,100"
"‎Dec‎ ‎20‎, ‎2018",103.05,104.31,98.78,101.51,101.51,"70,334,200"
"‎Dec‎ ‎19‎, ‎2018",103.65,106.88,101.35,103.69,103.69,"68,198,200"
"‎Dec‎ ‎18‎, ‎2018",103.75,104.51,102.52,103.97,103.97,"49,319,200"
"‎Dec‎ ‎17‎, ‎2018",105.41,105.80,101.71,102.89,102.89,"56,957,300"
"‎Dec‎ ‎14‎, ‎2018",108.25,109.26,105.50,106.03,106.03,"47,043,100"
"‎Dec‎ ‎13‎, ‎2018",109.58,110.87,108.63,109.45,109.45,"31,333,400"
"‎Dec‎ ‎12‎, ‎2018",110.89,111.27,109.04,109.08,109.08,"36,183,000"
"‎Dec‎ ‎11‎, ‎2018",109.80,110.95,107.44,108.59,108.59,"42,381,900"
"‎Dec‎ ‎10‎, ‎2018",104.80,107.98,103.89,107.59,107.59,"40,801,500"
"‎Dec‎ ‎07‎, ‎2018",108.38,109.45,104.30,104.82,104.82,"45,044,900"
"‎Dec‎ ‎06‎, ‎2018",105.82,109.24,105.00,109.19,109.19,"49,107,400"
"‎Dec‎ ‎04‎, ‎2018",111.94,112.64,108.21,108.52,108.52,"45,197,000"
"‎Dec‎ ‎03‎, ‎2018",113.00,113.42,110.73,112.09,112.09,"34,732,800"
"‎Nov‎ ‎30‎, ‎2018",110.70,110.97,109.36,110.89,110.89,"33,665,600"
